No.,Time,T.amb (°C),T.D.REF - normal PV (°C),T.U.REF - normal PV (°C),T.D.CPV-HNEPCM-HNF (°C),T.U.CPV-HNEPCM-HNF (°C),T.F.IN Hybrid NF (°C),T.F.DELTA Hybrid NF (°C),V.REF - normal PV (V),V.CPV-Hybrid (V),I.REF - normal PV (A),I.CPV-Hybrid (A),Direct POA irradiance - reference (W/m2),Effective irradiance - CPV hybrid (W/m2),Ceff - mirrors,P(max) REF (W),P(max) CPV Hybrid (W),Isc REF (A),Isc CPV Hybrid (A),Voc REF (V),Voc CPV Hybrid (V),FF REF,FF CPV Hybrid,P.REF normal PV (W),P.CPV-HNEPCM-HNF (W),AREA (m2),ζele.REF (%),ζele.CPV-Hybrid (%),m Hybrid NF (kg/s),Cp Hybrid NF (J/kg°K),Q.CPV-Hybrid (W),ζth.CPV-Hybrid (%),ζtotal.REF (%),ζtotal.CPV-Hybrid (%)
11,08:05:00,28.710,40.660,38.640,42.870,41.460,30.210,0.000,17.728,17.578,0.495,0.701,467.700,657.300,1.405,8.776,12.314,0.541,0.766,21.544,21.380,0.753,0.752,8.775,12.322,0.189,9.927,9.919,0.018,4155.000,0.000,0.000,9.927,9.919
12,08:05:30,28.740,41.320,39.320,43.430,42.030,30.220,0.000,17.688,17.544,0.496,0.703,469.300,660.000,1.406,8.782,12.336,0.543,0.768,21.500,21.343,0.752,0.753,8.773,12.333,0.189,9.891,9.887,0.018,4155.000,0.000,0.000,9.891,9.887
13,08:06:00,28.770,41.960,39.960,43.940,42.540,30.230,0.000,17.650,17.514,0.499,0.707,471.600,663.600,1.407,8.800,12.377,0.545,0.772,21.459,21.310,0.752,0.752,8.807,12.382,0.189,9.881,9.873,0.018,4155.000,0.000,0.000,9.881,9.873
14,08:06:30,28.800,42.560,40.580,44.400,43.010,30.250,0.000,17.614,17.487,0.501,0.711,474.300,667.900,1.408,8.830,12.434,0.548,0.777,21.419,21.280,0.752,0.752,8.825,12.433,0.189,9.844,9.849,0.018,4155.000,0.000,0.000,9.844,9.849
15,08:07:00,28.830,43.150,41.170,43.580,42.190,30.260,0.687,17.579,17.536,0.504,0.717,477.500,672.800,1.409,8.867,12.568,0.551,0.783,21.380,21.333,0.753,0.752,8.860,12.573,0.189,9.817,9.888,0.018,4155.000,52.237,41.080,9.817,50.968
16,08:07:30,28.850,43.720,41.740,42.870,41.480,30.270,0.693,17.545,17.578,0.508,0.723,480.800,677.900,1.410,8.907,12.701,0.555,0.790,21.343,21.379,0.752,0.752,8.913,12.709,0.189,9.808,9.919,0.018,4155.000,52.693,41.127,9.808,51.046
17,08:08:00,28.880,44.280,42.300,42.260,40.880,30.290,0.699,17.511,17.614,0.511,0.728,484.000,682.900,1.411,8.945,12.827,0.558,0.796,21.306,21.419,0.752,0.752,8.948,12.823,0.189,9.782,9.935,0.018,4155.000,53.150,41.179,9.782,51.114
18,08:08:30,28.910,44.830,42.850,41.740,40.360,30.300,0.705,17.479,17.645,0.514,0.733,486.800,687.300,1.412,8.976,12.938,0.561,0.801,21.271,21.453,0.752,0.753,8.984,12.934,0.189,9.765,9.957,0.018,4155.000,53.606,41.267,9.765,51.224
19,08:09:00,28.940,45.370,43.380,41.310,39.910,30.310,0.709,17.447,17.671,0.516,0.737,489.100,691.000,1.413,8.998,13.031,0.564,0.806,21.236,21.481,0.751,0.753,9.003,13.024,0.189,9.739,9.972,0.018,4155.000,53.910,41.279,9.739,51.251
20,08:09:30,28.960,45.890,43.890,40.940,39.540,30.330,0.713,17.416,17.693,0.517,0.741,490.800,693.800,1.414,9.009,13.104,0.565,0.809,21.202,21.506,0.752,0.753,9.004,13.111,0.189,9.707,9.998,0.018,4155.000,54.214,41.344,9.707,51.343
21,08:10:00,28.990,46.390,44.380,40.620,39.210,30.340,0.715,17.387,17.712,0.518,0.743,491.800,695.800,1.415,9.009,13.158,0.566,0.812,21.170,21.527,0.752,0.753,9.006,13.160,0.189,9.690,10.007,0.018,4155.000,54.366,41.341,9.690,51.348
22,08:10:30,29.010,46.870,44.850,40.360,38.940,30.350,0.716,17.358,17.728,0.519,0.744,492.400,697.000,1.416,9.001,13.197,0.567,0.814,21.139,21.544,0.751,0.753,9.009,13.190,0.189,9.680,10.012,0.018,4155.000,54.442,41.328,9.680,51.340
23,08:11:00,29.040,47.320,45.290,40.130,38.700,30.360,0.718,17.332,17.742,0.519,0.746,492.700,698.000,1.417,8.990,13.227,0.567,0.815,21.110,21.560,0.751,0.753,8.995,13.236,0.189,9.660,10.033,0.018,4155.000,54.594,41.384,9.660,51.417
24,08:11:30,29.060,47.740,45.700,39.930,38.490,30.370,0.719,17.307,17.754,0.519,0.747,493.000,698.900,1.417,8.981,13.256,0.567,0.816,21.083,21.573,0.751,0.753,8.982,13.262,0.189,9.640,10.040,0.018,4155.000,54.670,41.388,9.640,51.428
25,08:12:00,29.090,48.120,46.070,39.750,38.310,30.380,0.720,17.285,17.765,0.519,0.748,493.600,700.200,1.418,8.977,13.290,0.568,0.818,21.058,21.585,0.751,0.753,8.971,13.288,0.189,9.616,10.041,0.018,4155.000,54.746,41.369,9.616,51.410
26,08:12:30,29.110,48.470,46.420,39.590,38.150,30.400,0.723,17.264,17.775,0.520,0.750,494.700,702.100,1.419,8.983,13.336,0.569,0.820,21.035,21.595,0.751,0.753,8.977,13.331,0.189,9.602,10.046,0.018,4155.000,54.974,41.429,9.602,51.475
27,08:13:00,29.130,48.790,46.740,39.440,38.010,30.410,0.726,17.245,17.783,0.522,0.753,496.300,704.900,1.420,9.000,13.398,0.570,0.823,21.015,21.604,0.751,0.754,9.002,13.391,0.189,9.597,10.051,0.018,4155.000,55.202,41.435,9.597,51.486
28,08:13:30,29.160,49.070,47.020,39.310,37.880,30.420,0.730,17.228,17.791,0.524,0.757,498.600,708.600,1.421,9.030,13.474,0.573,0.828,20.996,21.613,0.751,0.753,9.027,13.468,0.189,9.580,10.056,0.018,4155.000,55.507,41.446,9.580,51.502
29,08:14:00,29.180,49.330,47.290,39.190,37.760,30.430,0.736,17.213,17.798,0.527,0.762,501.300,712.900,1.422,9.069,13.563,0.576,0.833,20.979,21.620,0.751,0.753,9.071,13.562,0.189,9.574,10.066,0.018,4155.000,55.963,41.535,9.574,51.600
30,08:14:30,29.200,49.560,47.530,39.090,37.660,30.440,0.742,17.199,17.804,0.530,0.767,504.300,717.700,1.423,9.115,13.660,0.579,0.839,20.964,21.627,0.751,0.753,9.115,13.656,0.189,9.564,10.067,0.018,4155.000,56.419,41.593,9.564,51.660
31,08:15:00,29.220,49.770,47.760,38.990,37.580,30.450,0.748,17.186,17.809,0.533,0.772,507.400,722.600,1.424,9.161,13.757,0.583,0.844,20.949,21.633,0.750,0.753,9.160,13.749,0.189,9.552,10.067,0.018,4155.000,56.875,41.645,9.552,51.712
32,08:15:30,29.240,49.980,47.970,38.910,37.500,30.460,0.753,17.173,17.814,0.536,0.777,510.300,727.100,1.425,9.205,13.848,0.586,0.850,20.936,21.638,0.750,0.753,9.205,13.841,0.189,9.544,10.072,0.018,4155.000,57.255,41.664,9.544,51.736
33,08:16:00,29.260,50.170,48.180,38.840,37.440,30.460,0.758,17.161,17.818,0.538,0.782,512.700,731.000,1.426,9.241,13.927,0.588,0.854,20.923,21.642,0.751,0.754,9.233,13.934,0.189,9.528,10.085,0.018,4155.000,57.636,41.717,9.528,51.802
34,08:16:30,29.280,50.360,48.380,38.790,37.400,30.470,0.762,17.149,17.821,0.540,0.785,514.500,734.100,1.427,9.266,13.989,0.590,0.858,20.910,21.646,0.751,0.753,9.260,13.989,0.189,9.523,10.083,0.018,4155.000,57.940,41.760,9.523,51.843
35,08:17:00,29.300,50.560,48.580,38.750,37.360,30.480,0.764,17.138,17.823,0.541,0.787,515.700,736.300,1.428,9.280,14.033,0.592,0.860,20.897,21.648,0.750,0.754,9.272,14.027,0.189,9.513,10.079,0.018,4155.000,58.092,41.744,9.513,51.824
36,08:17:30,29.310,50.750,48.780,38.720,37.340,30.490,0.766,17.126,17.824,0.542,0.789,516.400,737.800,1.429,9.283,14.061,0.592,0.862,20.884,21.650,0.751,0.753,9.282,14.063,0.189,9.511,10.085,0.018,4155.000,58.244,41.769,9.511,51.854
37,08:18:00,29.330,50.950,48.980,38.710,37.330,30.500,0.767,17.114,17.825,0.542,0.790,516.600,738.600,1.430,9.280,14.078,0.593,0.863,20.871,21.650,0.750,0.753,9.276,14.082,0.189,9.500,10.088,0.018,4155.000,58.320,41.778,9.500,51.865
38,08:18:30,29.350,51.160,49.180,38.720,37.330,30.510,0.768,17.102,17.825,0.542,0.790,516.800,739.300,1.431,9.274,14.090,0.593,0.864,20.858,21.650,0.750,0.753,9.269,14.082,0.189,9.490,10.078,0.018,4155.000,58.396,41.793,9.490,51.871
39,08:19:00,29.370,51.370,49.380,38.730,37.340,30.510,0.769,17.090,17.824,0.542,0.791,517.000,740.100,1.432,9.270,14.105,0.593,0.865,20.844,21.649,0.750,0.753,9.263,14.099,0.189,9.480,10.079,0.018,4155.000,58.472,41.802,9.480,51.881
40,08:19:30,29.380,51.580,49.590,38.760,37.360,30.520,0.771,17.077,17.823,0.543,0.793,517.600,741.400,1.432,9.272,14.129,0.593,0.866,20.831,21.648,0.751,0.754,9.273,14.134,0.189,9.479,10.086,0.018,4155.000,58.624,41.837,9.479,51.924
41,08:20:00,29.400,51.790,49.790,38.790,37.390,30.530,0.773,17.065,17.821,0.544,0.795,518.700,743.500,1.433,9.284,14.168,0.595,0.869,20.817,21.646,0.750,0.753,9.283,14.168,0.189,9.470,10.082,0.018,4155.000,58.776,41.827,9.470,51.909
42,08:20:30,29.410,52.000,49.990,38.830,37.430,30.530,0.777,17.053,17.819,0.546,0.798,520.500,746.500,1.434,9.307,14.223,0.597,0.872,20.804,21.643,0.749,0.754,9.311,14.220,0.189,9.465,10.078,0.018,4155.000,59.080,41.875,9.465,51.953
43,08:21:00,29.430,52.210,50.180,38.880,37.460,30.540,0.782,17.041,17.816,0.548,0.802,522.800,750.400,1.435,9.341,14.293,0.599,0.877,20.791,21.641,0.750,0.753,9.338,14.288,0.189,9.451,10.075,0.018,4155.000,59.461,41.925,9.451,52.000
44,08:21:30,29.440,52.400,50.370,38.920,37.500,30.550,0.787,17.030,17.814,0.551,0.807,525.600,754.800,1.436,9.383,14.376,0.602,0.882,20.779,21.638,0.750,0.753,9.384,14.376,0.189,9.446,10.077,0.018,4155.000,59.841,41.947,9.446,52.024
45,08:22:00,29.450,52.570,50.540,38.960,37.530,30.550,0.793,17.019,17.812,0.554,0.812,528.600,759.600,1.437,9.429,14.465,0.605,0.888,20.767,21.636,0.750,0.753,9.429,14.463,0.189,9.437,10.074,0.018,4155.000,60.297,42.000,9.437,52.074
46,08:22:30,29.470,52.730,50.690,39.000,37.570,30.560,0.799,17.010,17.810,0.557,0.817,531.500,764.300,1.438,9.475,14.553,0.609,0.893,20.757,21.633,0.750,0.753,9.475,14.551,0.189,9.432,10.073,0.018,4155.000,60.753,42.057,9.432,52.131
47,08:23:00,29.480,52.870,50.830,39.020,37.590,30.570,0.804,17.002,17.808,0.560,0.822,534.200,768.700,1.439,9.517,14.634,0.612,0.898,20.748,21.632,0.750,0.753,9.521,14.638,0.189,9.430,10.076,0.018,4155.000,61.133,42.078,9.430,52.154
48,08:23:30,29.490,52.990,50.950,39.040,37.620,30.570,0.809,16.995,17.807,0.562,0.826,536.300,772.300,1.440,9.550,14.701,0.614,0.902,20.740,21.630,0.750,0.754,9.551,14.709,0.189,9.423,10.077,0.018,4155.000,61.514,42.143,9.423,52.220
49,08:24:00,29.510,53.080,51.060,39.050,37.630,30.580,0.812,16.989,17.806,0.564,0.829,537.900,775.000,1.441,9.574,14.753,0.616,0.905,20.734,21.629,0.750,0.754,9.582,14.761,0.189,9.425,10.078,0.018,4155.000,61.742,42.152,9.425,52.229
50,08:24:30,29.520,53.160,51.150,39.050,37.640,30.580,0.815,16.984,17.806,0.565,0.831,538.900,776.900,1.442,9.588,14.788,0.617,0.908,20.728,21.629,0.750,0.753,9.596,14.797,0.189,9.421,10.077,0.018,4155.000,61.970,42.204,9.421,52.281
51,08:25:00,29.530,53.230,51.220,39.050,37.650,30.590,0.816,16.980,17.806,0.565,0.832,539.300,778.100,1.443,9.593,14.811,0.617,0.909,20.724,21.629,0.750,0.753,9.594,14.815,0.189,9.412,10.074,0.018,4155.000,62.046,42.191,9.412,52.264
52,08:25:30,29.540,53.280,51.290,39.040,37.650,30.590,0.817,16.976,17.806,0.565,0.833,539.500,778.900,1.444,9.594,14.826,0.618,0.910,20.720,21.629,0.749,0.753,9.591,14.832,0.189,9.407,10.076,0.018,4155.000,62.122,42.199,9.407,52.274
53,08:26:00,29.560,53.330,51.350,39.030,37.650,30.600,0.818,16.973,17.806,0.565,0.833,539.700,779.600,1.445,9.595,14.840,0.618,0.911,20.716,21.629,0.749,0.753,9.590,14.832,0.189,9.401,10.066,0.018,4155.000,62.198,42.213,9.401,52.279
54,08:26:30,29.570,53.380,51.410,39.030,37.650,30.600,0.820,16.969,17.806,0.566,0.835,540.100,780.700,1.445,9.599,14.860,0.618,0.912,20.712,21.630,0.750,0.753,9.604,14.868,0.189,9.409,10.076,0.018,4155.000,62.350,42.256,9.409,52.333
55,08:27:00,29.580,53.440,51.480,39.030,37.660,30.600,0.822,16.966,17.806,0.567,0.836,540.900,782.400,1.446,9.612,14.893,0.619,0.914,20.708,21.629,0.750,0.753,9.620,14.886,0.189,9.410,10.067,0.018,4155.000,62.502,42.267,9.410,52.334
56,08:27:30,29.590,53.510,51.550,39.040,37.680,30.610,0.825,16.961,17.805,0.568,0.839,542.400,785.000,1.447,9.634,14.941,0.621,0.917,20.703,21.628,0.749,0.753,9.634,14.938,0.189,9.398,10.069,0.018,4155.000,62.730,42.281,9.398,52.350
57,08:28:00,29.600,53.600,51.640,39.070,37.700,30.610,0.829,16.956,17.803,0.570,0.843,544.400,788.500,1.448,9.667,15.006,0.623,0.921,20.698,21.627,0.750,0.753,9.665,15.008,0.189,9.393,10.071,0.018,4155.000,63.034,42.297,9.393,52.368
58,08:28:30,29.620,53.700,51.740,39.110,37.740,30.620,0.835,16.950,17.801,0.573,0.847,547.100,792.800,1.449,9.709,15.086,0.626,0.926,20.691,21.624,0.750,0.753,9.712,15.077,0.189,9.393,10.062,0.018,4155.000,63.490,42.372,9.393,52.435
59,08:29:00,29.630,53.820,51.860,39.150,37.780,30.620,0.841,16.943,17.798,0.576,0.853,550.000,797.600,1.450,9.757,15.175,0.629,0.932,20.683,21.621,0.750,0.753,9.759,15.182,0.189,9.388,10.071,0.018,4155.000,63.947,42.420,9.388,52.491
60,08:29:30,29.640,53.960,51.990,39.210,37.840,30.620,0.847,16.935,17.795,0.579,0.858,553.200,802.600,1.451,9.807,15.267,0.633,0.938,20.675,21.618,0.749,0.753,9.805,15.268,0.189,9.378,10.065,0.018,4155.000,64.403,42.457,9.378,52.522
61,08:30:00,29.650,54.100,52.120,39.280,37.900,30.630,0.853,16.927,17.791,0.582,0.863,556.100,807.500,1.452,9.854,15.355,0.636,0.943,20.666,21.613,0.750,0.753,9.852,15.354,0.189,9.373,10.060,0.018,4155.000,64.859,42.498,9.373,52.558
62,08:30:30,29.660,54.250,52.260,39.350,37.960,30.630,0.859,16.918,17.787,0.585,0.868,558.800,811.800,1.453,9.894,15.433,0.639,0.948,20.657,21.609,0.750,0.753,9.897,15.439,0.189,9.371,10.063,0.018,4155.000,65.315,42.570,9.371,52.633
63,08:31:00,29.680,54.390,52.390,39.420,38.020,30.640,0.863,16.910,17.783,0.587,0.871,560.800,815.300,1.454,9.925,15.495,0.641,0.952,20.647,21.605,0.750,0.753,9.926,15.489,0.189,9.365,10.052,0.018,4155.000,65.619,42.585,9.365,52.637
64,08:31:30,29.690,54.530,52.520,39.490,38.080,30.640,0.867,16.902,17.780,0.588,0.874,562.300,818.000,1.455,9.945,15.542,0.643,0.955,20.639,21.601,0.749,0.753,9.938,15.540,0.189,9.352,10.051,0.018,4155.000,65.924,42.641,9.352,52.692
65,08:32:00,29.700,54.650,52.640,39.550,38.130,30.640,0.869,16.895,17.776,0.589,0.876,563.200,819.800,1.456,9.955,15.573,0.644,0.957,20.631,21.597,0.749,0.753,9.951,15.572,0.189,9.349,10.050,0.018,4155.000,66.076,42.645,9.349,52.695
66,08:32:30,29.710,54.760,52.740,39.590,38.180,30.650,0.871,16.889,17.773,0.590,0.877,563.700,821.000,1.457,9.960,15.593,0.644,0.959,20.624,21.594,0.750,0.753,9.965,15.587,0.189,9.353,10.045,0.018,4155.000,66.228,42.681,9.353,52.726
67,08:33:00,29.730,54.850,52.830,39.630,38.220,30.650,0.872,16.884,17.771,0.590,0.878,564.000,822.000,1.457,9.961,15.609,0.645,0.960,20.618,21.591,0.749,0.753,9.962,15.603,0.189,9.345,10.043,0.018,4155.000,66.304,42.678,9.345,52.721
68,08:33:30,29.740,54.910,52.890,39.660,38.240,30.650,0.873,16.880,17.770,0.590,0.879,564.400,823.000,1.458,9.965,15.627,0.645,0.961,20.614,21.590,0.749,0.753,9.959,15.620,0.189,9.336,10.042,0.018,4155.000,66.380,42.675,9.336,52.717
69,08:34:00,29.760,54.960,52.950,39.670,38.260,30.660,0.875,16.877,17.769,0.591,0.881,565.100,824.600,1.459,9.975,15.655,0.646,0.963,20.611,21.589,0.749,0.753,9.974,15.654,0.189,9.339,10.045,0.018,4155.000,66.532,42.690,9.339,52.735
70,08:34:30,29.770,54.990,52.990,39.680,38.280,30.660,0.878,16.875,17.768,0.592,0.884,566.300,826.900,1.460,9.995,15.698,0.647,0.966,20.608,21.588,0.750,0.753,9.990,15.707,0.189,9.334,10.050,0.018,4155.000,66.760,42.717,9.334,52.767
71,08:35:00,29.790,55.010,53.020,39.680,38.290,30.670,0.882,16.873,17.768,0.594,0.887,568.100,830.100,1.461,10.026,15.759,0.649,0.969,20.607,21.587,0.750,0.753,10.023,15.760,0.189,9.335,10.045,0.018,4155.000,67.064,42.746,9.335,52.792
72,08:35:30,29.800,55.030,53.050,39.690,38.300,30.670,0.887,16.871,17.767,0.597,0.891,570.500,834.100,1.462,10.068,15.836,0.652,0.974,20.605,21.587,0.749,0.753,10.072,15.830,0.189,9.341,10.042,0.018,4155.000,67.444,42.782,9.341,52.824
73,08:36:00,29.820,55.060,53.080,39.690,38.310,30.680,0.894,16.870,17.767,0.600,0.896,573.500,838.900,1.463,10.118,15.926,0.656,0.980,20.603,21.586,0.749,0.753,10.122,15.919,0.189,9.338,10.040,0.018,4155.000,67.977,42.873,9.338,52.914
74,08:36:30,29.830,55.080,53.120,39.700,38.330,30.680,0.900,16.868,17.766,0.603,0.902,576.700,844.200,1.464,10.173,16.024,0.659,0.986,20.601,21.585,0.749,0.753,10.171,16.025,0.189,9.332,10.044,0.018,4155.000,68.433,42.890,9.332,52.934
75,08:37:00,29.850,55.130,53.170,39.720,38.360,30.680,0.907,16.865,17.764,0.606,0.908,579.900,849.400,1.465,10.228,16.122,0.663,0.992,20.598,21.584,0.749,0.753,10.220,16.130,0.189,9.325,10.047,0.018,4155.000,68.965,42.959,9.325,53.006
76,08:37:30,29.870,55.190,53.240,39.750,38.390,30.690,0.913,16.861,17.763,0.610,0.913,582.900,854.300,1.466,10.278,16.213,0.666,0.998,20.594,21.582,0.749,0.753,10.285,16.218,0.189,9.336,10.044,0.018,4155.000,69.421,42.995,9.336,53.039
77,08:38:00,29.880,55.260,53.310,39.790,38.430,30.690,0.919,16.857,17.760,0.612,0.917,585.400,858.500,1.467,10.319,16.291,0.669,1.002,20.589,21.579,0.749,0.753,10.316,16.286,0.189,9.324,10.037,0.018,4155.000,69.878,43.066,9.324,53.103
78,08:38:30,29.900,55.350,53.400,39.850,38.480,30.700,0.923,16.851,17.757,0.614,0.921,587.300,861.900,1.467,10.349,16.351,0.671,1.006,20.583,21.576,0.749,0.753,10.347,16.354,0.189,9.321,10.039,0.018,4155.000,70.182,43.083,9.321,53.122
79,08:39:00,29.920,55.460,53.510,39.910,38.540,30.700,0.926,16.845,17.753,0.615,0.923,588.700,864.400,1.468,10.368,16.394,0.673,1.009,20.576,21.572,0.749,0.753,10.360,16.386,0.189,9.311,10.030,0.018,4155.000,70.410,43.098,9.311,53.128
80,08:39:30,29.940,55.580,53.620,39.970,38.600,30.710,0.929,16.838,17.750,0.616,0.925,589.500,866.100,1.469,10.376,16.422,0.673,1.011,20.569,21.568,0.750,0.753,10.372,16.419,0.189,9.309,10.030,0.018,4155.000,70.638,43.153,9.309,53.183
81,08:40:00,29.960,55.710,53.730,40.050,38.670,30.720,0.930,16.831,17.745,0.617,0.926,589.900,867.300,1.470,10.379,16.440,0.674,1.013,20.561,21.563,0.749,0.753,10.385,16.432,0.189,9.314,10.024,0.018,4155.000,70.714,43.139,9.314,53.164
82,08:40:30,29.980,55.840,53.850,40.120,38.730,30.720,0.932,16.823,17.741,0.617,0.928,590.300,868.300,1.471,10.379,16.455,0.674,1.014,20.552,21.559,0.749,0.753,10.380,16.464,0.189,9.304,10.032,0.018,4155.000,70.866,43.182,9.304,53.215
83,08:41:00,30.000,55.970,53.970,40.200,38.800,30.730,0.933,16.816,17.737,0.617,0.929,590.800,869.600,1.472,10.382,16.475,0.675,1.015,20.544,21.554,0.749,0.753,10.375,16.478,0.189,9.292,10.026,0.018,4155.000,70.942,43.164,9.292,53.190
84,08:41:30,30.020,56.090,54.080,40.270,38.860,30.730,0.936,16.809,17.733,0.618,0.931,591.700,871.500,1.473,10.393,16.506,0.676,1.017,20.537,21.550,0.749,0.753,10.388,16.509,0.189,9.289,10.023,0.018,4155.000,71.170,43.208,9.289,53.232
85,08:42:00,30.040,56.210,54.190,40.330,38.920,30.740,0.939,16.803,17.729,0.620,0.934,593.100,874.200,1.474,10.413,16.552,0.677,1.020,20.530,21.546,0.749,0.753,10.418,16.559,0.189,9.294,10.022,0.018,4155.000,71.398,43.213,9.294,53.235
86,08:42:30,30.060,56.310,54.280,40.390,38.970,30.750,0.944,16.797,17.726,0.622,0.937,595.200,877.800,1.475,10.445,16.617,0.680,1.024,20.523,21.542,0.748,0.753,10.448,16.609,0.189,9.287,10.011,0.018,4155.000,71.778,43.265,9.287,53.276
87,08:43:00,30.090,56.390,54.370,40.450,39.020,30.750,0.950,16.792,17.723,0.625,0.942,597.800,882.200,1.476,10.488,16.697,0.683,1.030,20.518,21.539,0.748,0.753,10.495,16.695,0.189,9.289,10.013,0.018,4155.000,72.235,43.323,9.289,53.336
88,08:43:30,30.110,56.470,54.440,40.490,39.070,30.760,0.956,16.787,17.720,0.628,0.947,600.900,887.200,1.477,10.537,16.788,0.686,1.035,20.513,21.536,0.749,0.753,10.542,16.781,0.189,9.283,10.008,0.018,4155.000,72.691,43.351,9.283,53.358
89,08:44:00,30.130,56.530,54.500,40.530,39.110,30.770,0.963,16.784,17.718,0.631,0.953,604.100,892.500,1.477,10.590,16.885,0.690,1.042,20.509,21.533,0.748,0.753,10.591,16.885,0.189,9.276,10.010,0.018,4155.000,73.223,43.409,9.276,53.419
90,08:44:30,30.160,56.570,54.560,40.560,39.150,30.770,0.970,16.781,17.716,0.634,0.958,607.200,897.600,1.478,10.642,16.980,0.693,1.047,20.506,21.531,0.749,0.753,10.639,16.972,0.189,9.271,10.004,0.018,4155.000,73.755,43.476,9.271,53.480
91,08:45:00,30.180,56.610,54.600,40.580,39.180,30.780,0.976,16.778,17.714,0.637,0.963,609.900,902.200,1.479,10.688,17.065,0.696,1.053,20.503,21.529,0.749,0.753,10.688,17.059,0.189,9.272,10.004,0.018,4155.000,74.212,43.522,9.272,53.526
92,08:45:30,30.210,56.640,54.650,40.610,39.210,30.790,0.981,16.776,17.713,0.639,0.967,612.100,906.000,1.480,10.725,17.135,0.699,1.057,20.500,21.527,0.748,0.753,10.720,17.128,0.189,9.266,10.003,0.018,4155.000,74.592,43.561,9.266,53.564
